iter	Passed	Remaining
0	200	199935
1	225	112393
2	255	84868
3	282	70277
4	306	60923
5	326	54162
6	355	50418
7	376	46741
8	405	44673
9	431	42685
10	458	41193
11	479	39445
12	506	38449
13	536	37789
14	563	36983
15	591	36378
16	610	35326
17	637	34753
18	656	33897
19	681	33395
20	705	32895
21	730	32478
22	760	32307
23	783	31857
24	822	32091
25	846	31712
26	870	31378
27	896	31128
28	915	30640
29	936	30292
30	960	30026
31	1000	30253
32	1021	29934
33	1051	29866
34	1072	29566
35	1112	29798
36	1132	29486
37	1169	29598
38	1195	29464
39	1267	30423
40	1299	30406
41	1322	30169
42	1339	29809
43	1370	29770
44	1392	29556
45	1444	29958
46	1483	30086
47	1552	30790
48	1571	30491
49	1597	30349
50	1627	30288
51	1655	30184
52	1690	30206
53	1726	30250
54	1754	30153
55	1791	30196
56	1820	30112
57	1849	30041
58	1871	2959	1895	29694
60	1920	29565
61	1953	29559
62	1985	29528
63	2003	29300
64	2033	29250
65	2060	29154
66	2091	29118
67	2119	29048
68	2146	28956
69	2176	28921
70	2209	28911
71	2244	28925
72	2274	28884
73	2301	28797
74	2319	28601
75	2354	28627
76	2381	28547
77	2417	28576
78	2442	28476
79	2466	28365
80	2501	28384
81	281	2538	2882	2560	28286
83	2594	28289
84	2619	28199
85	285	2649	2886	286	2673	2887	287	2702	28012
88	2725	2789	289	2758	27892
90	2792	27897
91	2820	27837
92	2839	27692
93	2862	27586
94	2882	27454
95	2905	27360
96	2924	27223
97	2945	27112
98	2966	26995
99	2988	26892
100	3011	26808
101	3039	26758
102	3058	26633
103	3080	26537
104	3104	26461
105	3125	26357
106	3151	26301
107	3178	26254
108	3197	26139
109	3220	26058
110	3245	25993
111	3270	25934
112	3294	25858
113	3315	25764
114	3339	25698
115	3359	25602
116	3381	25517
117	3404	25449
118	3429	25391
119	3449	25296
120	3474	25237
121	3488	25107
122	3504	24985
123	3522	24881
124	3543	24803
125	3568	24755
126	3589	24671
127	3606	24569
128	3632	24526
129	3648	24418
130	3672	24363
131	3701	24337
132	3723	24274
133	3742	24186
134	3761	24099
135	3789	24073
136	3807	23983
137	3836	23965
138	3858	23900
139	3885	23867
140	3918	23871
141	3958	23920
142	3983	23870
143	4016	23875
144	4040	23826
145	4064	23774
146	4093	23753
147	4114	23683
148	4131	23594
149	4172	23643
150	4211	23679
151	4244	23678
152	4268	23632
153	4299	23621
154	4319	23550
155	4345	23510
156	4383	23536
157	4400	23452
158	4424	23402
159	4447	23349
160	4475	23322
161	4492	23237
162	4518	23202
163	4542	23154
164	4579	23174
165	4602	23125
166	4632	23104
167	4659	23077
168	4681	23021
169	4715	23022
170	4746	23011
171	4777	22996
172	4802	22958
173	4828	22923
174	4860	22914
175	4895	22920
176	4913	22844
177	4963	22921
178	4983	22857
179	5014	22844
180	5047	22840
181	5082	22842
182	5112	22825
183	5140	22797
184	5168	22768
185	5194	22732
186	5215	22675
187	5243	22646
188	5262	22579
189	5291	22560
190	5320	22537
191	5342	22483
192	5357	22403
193	5374	22329
194	5394	22268
195	5414	22211
196	5433	22147
197	5465	22136
198	5489	22094
199	5514	22057
200	5535	22004
201	5559	21962
202	5577	21898
203	5601	21856
204	5623	21807
205	5647	21767
206	5666	21707
207	5690	21666
208	5713	21624
209	5732	21565
210	5756	21526
211	5783	21496
212	5806	21453
213	5831	21418
214	5863	21409
215	5884	21356
216	5905	21307
217	5921	21240
218	5940	21186
219	5955	21113
220	5974	21058
221	6000	21028
222	6022	20985
223	6049	20956
224	6073	20921
225	6097	20884
226	6113	20819
227	6141	20796
228	6167	20765
229	6188	20719
230	6212	20681
231	6236	20646
232	6264	20623
233	6296	20612
234	6320	20574
235	6355	20573
236	6386	20561
237	6434	20601
238	6468	20596
239	6503	20595
240	6529	20564
241	6558	20542
242	6590	20530
243	6617	20504
244	6659	20522
245	6693	20516
246	6729	20514
247	6761	20502
248	6808	20533
249	6827	20481
250	6850	20441
251	6876	20411
252	6904	20385
253	6926	20344
254	6950	20307
255	6983	20296
256	7023	20304
257	7056	20295
258	7084	20269
259	7113	20245
260	7140	20217
261	7156	20158
262	7198	20171
263	7218	20124
264	7259	20134
265	7294	20127
266	7322	20102
267	7342	20055
268	7364	20011
269	7383	19963
270	7405	19920
271	7428	19881
272	7454	19852
273	7474	19805
274	7496	19763
275	7523	19736
276	7543	19688
277	7565	19648
278	7588	19611
279	7610	19569
280	7629	19522
281	7661	19507
282	7682	19463
283	7710	19438
284	7730	19395
285	7747	19342
286	7768	19298
287	7793	19266
288	7813	19222
289	7834	19181
290	7862	19155
291	7889	19129
292	7913	19094
293	7933	19052
294	7950	18999
295	7973	18963
296	7995	18925
297	8022	18897
298	8040	18851
299	8061	18809
300	8082	18769
301	8109	18742
302	8137	18719
303	8169	18703
304	8190	18662
305	8205	18610
306	8230	18578
307	8261	18562
308	8288	18534
309	8315	18507
310	8341	18480
311	8372	18461
312	8400	18438
313	8419	18394
314	8454	18385
315	8490	18378
316	8532	18383
317	8572	18384
318	8621	18404
319	8662	18407
320	8681	18363
